Question_ID,Answer_ID,Task
8138,,Phi-2
8153,2.0,Phi-2
8156,1.0,Phi-2
8160,3.0,Phi-2
8165,2.0,Phi-2
8168,2.0,Phi-2
8186,1.0,Phi-2
8200,5.0,Phi-2
8202,3.0,Phi-2
8210,2.0,Phi-2
8211,2.0,Phi-2
8213,2.0,Phi-2
8216,2.0,Phi-2
8223,3.0,Phi-2
8230,5.0,Phi-2
8231,2.0,Phi-2
8243,3.0,Phi-2
8261,4.0,Phi-2
8263,3.0,Phi-2
8266,2.0,Phi-2
8269,2.0,Phi-2
8272,2.0,Phi-2
8285,2.0,Phi-2
8289,,Phi-2
8293,1.0,Phi-2
8301,2.0,Phi-2
8307,1.0,Phi-2
8310,4.0,Phi-2
8311,3.0,Phi-2
8314,2.0,Phi-2
8318,3.0,Phi-2
8319,2.0,Phi-2
8335,2.0,Phi-2
8342,1.0,Phi-2
8347,1.0,Phi-2
8350,2.0,Phi-2
8354,3.0,Phi-2
8359,2.0,Phi-2
8360,1.0,Phi-2
8361,3.0,Phi-2
8362,2.0,Phi-2
8363,3.0,Phi-2
8364,3.0,Phi-2
8369,,Phi-2
8371,3.0,Phi-2
8381,2.0,Phi-2
8389,4.0,Phi-2
8396,3.0,Phi-2
8401,3.0,Phi-2
8403,2.0,Phi-2
8405,2.0,Phi-2
8411,2.0,Phi-2
8417,1.0,Phi-2
8426,1.0,Phi-2
8429,3.0,Phi-2
8434,4.0,Phi-2
8437,2.0,Phi-2
8445,3.0,Phi-2
8455,2.0,Phi-2
8456,2.0,Phi-2
8460,2.0,Phi-2
8462,1.0,Phi-2
8476,5.0,Phi-2
8485,2.0,Phi-2
8493,4.0,Phi-2
8499,1.0,Phi-2
8503,3.0,Phi-2
8508,1.0,Phi-2
8523,3.0,Phi-2
8525,3.0,Phi-2
8531,1.0,Phi-2
8538,3.0,Phi-2
8541,1.0,Phi-2
8546,2.0,Phi-2
8552,3.0,Phi-2
8568,2.0,Phi-2
8570,3.0,Phi-2
8576,2.0,Phi-2
8578,2.0,Phi-2
8579,4.0,Phi-2
8598,,Phi-2
8600,2.0,Phi-2
8601,3.0,Phi-2
8611,2.0,Phi-2
8614,2.0,Phi-2
8617,2.0,Phi-2
8620,2.0,Phi-2
8627,2.0,Phi-2
8635,3.0,Phi-2
8636,3.0,Phi-2
8638,2.0,Phi-2
8639,5.0,Phi-2
8641,3.0,Phi-2
8650,2.0,Phi-2
8654,4.0,Phi-2
8655,2.0,Phi-2
8657,3.0,Phi-2
8662,2.0,Phi-2
8663,,Phi-2
8665,4.0,Phi-2
8672,3.0,Phi-2
8677,1.0,Phi-2
8683,2.0,Phi-2
8690,4.0,Phi-2
8693,2.0,Phi-2
8694,2.0,Phi-2
8696,2.0,Phi-2
8703,2.0,Phi-2
8716,1.0,Phi-2
8721,2.0,Phi-2
8723,5.0,Phi-2
8735,4.0,Phi-2
8742,3.0,Phi-2
8755,3.0,Phi-2
8762,4.0,Phi-2
8768,2.0,Phi-2
8770,2.0,Phi-2
8774,4.0,Phi-2
8779,1.0,Phi-2
8795,2.0,Phi-2
8798,2.0,Phi-2
8801,2.0,Phi-2
8806,3.0,Phi-2
8808,2.0,Phi-2
8814,5.0,Phi-2
8833,2.0,Phi-2
8854,2.0,Phi-2
8860,1.0,Phi-2
8862,2.0,Phi-2
8863,4.0,Phi-2
8868,2.0,Phi-2
8874,2.0,Phi-2
8875,5.0,Phi-2
8877,1.0,Phi-2
8882,2.0,Phi-2
8885,2.0,Phi-2
8886,1.0,Phi-2
8901,2.0,Phi-2
8912,1.0,Phi-2
8915,2.0,Phi-2
8942,2.0,Phi-2
8946,2.0,Phi-2
8947,2.0,Phi-2
8948,3.0,Phi-2
8950,3.0,Phi-2
8955,2.0,Phi-2
8957,3.0,Phi-2
8961,3.0,Phi-2
8962,2.0,Phi-2
8964,2.0,Phi-2
8965,5.0,Phi-2
8971,2.0,Phi-2
8972,2.0,Phi-2
8981,2.0,Phi-2
8987,2.0,Phi-2
9001,2.0,Phi-2
9010,2.0,Phi-2
9013,2.0,Phi-2
9014,3.0,Phi-2
9022,2.0,Phi-2
9023,2.0,Phi-2
9025,5.0,Phi-2
9028,2.0,Phi-2
9030,2.0,Phi-2
9043,2.0,Phi-2
9046,2.0,Phi-2
9048,2.0,Phi-2
9050,2.0,Phi-2
9052,2.0,Phi-2
9061,1.0,Phi-2
9073,3.0,Phi-2
9074,1.0,Phi-2
9077,2.0,Phi-2
9091,3.0,Phi-2
9095,1.0,Phi-2
9099,2.0,Phi-2
9101,4.0,Phi-2
9102,3.0,Phi-2
9112,4.0,Phi-2
9118,3.0,Phi-2
9124,3.0,Phi-2
9126,2.0,Phi-2
9129,2.0,Phi-2
9139,2.0,Phi-2
9145,2.0,Phi-2
9146,1.0,Phi-2
9167,3.0,Phi-2
9168,3.0,Phi-2
9174,5.0,Phi-2
9180,2.0,Phi-2
9187,2.0,Phi-2
9191,3.0,Phi-2
9204,2.0,Phi-2
9208,1.0,Phi-2
9213,3.0,Phi-2
9214,3.0,Phi-2
9219,2.0,Phi-2
9224,2.0,Phi-2
9225,3.0,Phi-2
9231,3.0,Phi-2
9237,2.0,Phi-2
9242,3.0,Phi-2
9243,2.0,Phi-2
9244,2.0,Phi-2
9246,1.0,Phi-2
9256,4.0,Phi-2
9259,2.0,Phi-2
9264,2.0,Phi-2
9268,3.0,Phi-2
9269,3.0,Phi-2
9277,4.0,Phi-2
9280,2.0,Phi-2
9282,2.0,Phi-2
9290,2.0,Phi-2
9299,2.0,Phi-2
9300,3.0,Phi-2
9305,1.0,Phi-2
9308,2.0,Phi-2
9314,3.0,Phi-2
9317,2.0,Phi-2
9319,3.0,Phi-2
9323,2.0,Phi-2
9324,2.0,Phi-2
9327,3.0,Phi-2
9339,1.0,Phi-2
9344,2.0,Phi-2
9355,3.0,Phi-2
9359,3.0,Phi-2
9371,2.0,Phi-2
9374,4.0,Phi-2
9377,3.0,Phi-2
9379,3.0,Phi-2
9385,1.0,Phi-2
9388,4.0,Phi-2
9389,3.0,Phi-2
9390,2.0,Phi-2
9394,4.0,Phi-2
9396,3.0,Phi-2
9400,2.0,Phi-2
9417,2.0,Phi-2
9434,5.0,Phi-2
9435,2.0,Phi-2
9442,4.0,Phi-2
9443,3.0,Phi-2
9444,2.0,Phi-2
9447,2.0,Phi-2
9454,3.0,Phi-2
9456,2.0,Phi-2
9457,3.0,Phi-2
9459,4.0,Phi-2
9462,3.0,Phi-2
9464,2.0,Phi-2
9467,2.0,Phi-2
9468,2.0,Phi-2
9487,2.0,Phi-2
9504,4.0,Phi-2
9505,,Phi-2
9507,2.0,Phi-2
9511,3.0,Phi-2
9516,3.0,Phi-2
9524,3.0,Phi-2
9526,2.0,Phi-2
9533,1.0,Phi-2
9545,2.0,Phi-2
9547,2.0,Phi-2
9549,2.0,Phi-2
9557,1.0,Phi-2
9570,2.0,Phi-2
9571,2.0,Phi-2
9585,1.0,Phi-2
9586,4.0,Phi-2
9587,3.0,Phi-2
9595,2.0,Phi-2
9597,3.0,Phi-2
9602,2.0,Phi-2
9607,3.0,Phi-2
9610,2.0,Phi-2
9612,2.0,Phi-2
9613,2.0,Phi-2
9623,2.0,Phi-2
9626,3.0,Phi-2
9630,3.0,Phi-2
9631,2.0,Phi-2
9633,2.0,Phi-2
9637,3.0,Phi-2
9641,3.0,Phi-2
9650,2.0,Phi-2
9653,2.0,Phi-2
9656,5.0,Phi-2
9657,2.0,Phi-2
9659,2.0,Phi-2
9673,2.0,Phi-2
9674,2.0,Phi-2
9676,5.0,Phi-2
9678,1.0,Phi-2
9682,2.0,Phi-2
9685,2.0,Phi-2
9703,3.0,Phi-2
9705,3.0,Phi-2
